Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,Solid Waste program funded by property tax?,Solid Waste program funded by annual fee?,Solid Waste program funded by transfer station access fee?,Solid Waste program funded by per-visit fee?,Solid Waste program funded by PAYT/ SMART revenue?,What is the annual fee?,What is the transfer station access fee?,What is the per-visit fee?,PAYT/ SMART,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Applies to Residential Generators Eligible to be Served by Municipal Program,Applies to Residential Generators not Eligible to be Served by the Municipal Program,Applies to Commercial Generators,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,# Hours Enforcement Personnel on Street,Private Hauler regulations that require recycling,Applies to Haulers Serving Residential Generators Eligible to be Served by Municipal Program,Applies to Haulers Serving Residential Generators Not Eligible to be Served by Municipal Program,Applies to Commercial Generators,Swap-Shop,Reuse area at transfer station/ recycling center?,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,"Annual Bulky 
Waste 
Limit",Tip Fee as of 1/1/2017,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,C&D,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks 1 lb.,Propane tanks  20 lb.,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Books/Media,Plastic Bags,Fire Extinguishers,Did your municipality host comprehensive household hazardous waste collection events in 2017?,How many events?,Regional,Reciprocal,Comments/Additional Information,,
PELHAM,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pembroke,Edwin J. Thorne,6500,6500,6500,Curbside,Yes,64,Both,Weekly,Yes,Yes,64,None,,52,Both,Recycling,Neither,Neither,,Yes,,,,280,,,,Yes,2,64,,,,,,,,,,,,,,,,Yes,Yes,,5251.7,Yes,0,Yes,,56.38,11,0,22,0,2,14,56,3,65,4,3,0,1800,35,3,Once a Week,Once a Week,Once a Week,Once a Week,1 or 2,Once a Week,Once a Week,Once a Week,1 or 2,1 or 2,1 or 2,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,,Once a Week,,,Yes,2,No,No,,,
Pepperell,Brynn Montesanti,4521,1590,1590,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Both,Neither,,,Yes,Yes,Yes,,90,20,Yes,,,,,,,,,,,,,,,,,,,,,Yes,886,Yes,,Yes,,,,,,,202.4,,12,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Between 3 & 10,Year Round,0,0,0,Between 3 & 10,No,,,,,,
Peru,Linda Cernik,380,290,290,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,Yes,,Yes,,50,,Yes,,,,,,,,,,,,,,,,,,,,,,203.83,No,9.6,Yes,,,,,,24.1,18.41,,13.98,,,,,,,,,0,0,1 or 2,1 or 2,0,Year Round,1 or 2,1 or 2,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,0,0,No,,,,HHW collection secured for member towns June 2 2018~ has access to the districts county wide collections,,
Petersham,Fifi Scoufopoulos,485,336,336,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,Yes,,Yes,,25,,Yes,,,,,,,Yes,Yes,,,,,,,,,,,Yes,,,199.27,Yes,0,Yes,,100,,,,51.63,34.55,,14.23,1.56,,,,,,,,Year Round,Once a Week,0,0,Year Round,Once a Week,Once a Week,Once a Week,1 or 2,0,1 or 2,Once a Week,1 or 2,Once a Week,1 or 2,1 or 2,0,0,Once a Week,,Once a Week,0,,No,,,,"auto batteries and waste oil recycled at local garage/town barn.
sharps collected at local hospital
electronics town collection every year or two, otherwise directed to Gardner Electronicycle.",,
Phillipston,Laurie Pearson,794,436,436,Drop-off,,,Drop-off,,Yes,,,None,,,Both,Both,Both,Neither,Yes,Yes,,,Yes,12,,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,176.29,Yes,0,Yes,,120,93.49,,,,,,12.06,2.71,,,,,,,,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,0,No,,,,,,
Pittsfield,David,19369,17552,17552,Both,,,Both,Weekly,,,,None,2,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,Yes,14940.18,Yes,0,Yes,,83.9,,,,1067.4,654.44,,152.09,,,,,,558,,,Year Round,Year Round,0,Year Round,0,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,,0,No,,,,,,
Plainfield,Kathleen A. Casey,299,216,216,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Both,Neither,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,No,,,,,,,,Yes,95.14,No,11.31,Yes,,72,,,,26.62,19.81,0.3,4.81,3.72,,,,,,0.75,,0,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,0,,No,,,,,,
Plainville,Deborah J. Revelle,3716,2050,2050,Curbside,,,Curbside,Weekly,Yes,,,None,1,48,Both,Both,Neither,Neither,Yes,Yes,,,Yes,120,,,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,1486,Yes,0,Yes,52,72.83,592,,,,,,23.43,4.28,,,,,,10,,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,Year Round,Yes,1,No,No,,,
Plymouth,HAYLEY FRIZZELL,36539,9055,9055,Both,Yes,65,Both,Bi-weekly,Yes,Yes,95,None,,52,Both,Both,Neither,Neither,,Yes,Yes,,Yes,199,168,,Yes,,,,,,,Yes,Yes,Yes,,Yes,Yes,No,,Yes,Yes,Yes,,,,Yes,7392,No,0,,,68.3,2113,15,250,403,364,,297,,,,,,4.92,50.49,,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,0,0,Yes,2,Yes,Yes,,,
PLYMPTON,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Princeton,Terri Longtine,1465,0,0,None,,,None,,,,,None,,,Neither,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,0,No,0,,,,0,0,0,0,0,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,,,Yes,6,Yes,No,,,
Provincetown,David Panagore,2677,2325,2325,Both,,,Both,Weekly,Yes,,,None,6,52,Both,Both,Neither,Both,Yes,,Yes,Yes,,,50,2,,Yes,2,32,Yes,,No,Yes,Yes,Yes,Yes,Yes,,No,,Yes,Yes,Yes,Yes,Yes,Yes,,2711,Yes,0,Yes,,57.55,1115,,182,,,,65,,15,11.61,,,,9,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,,0,0,,Yes,1,No,Yes,,,
Quincy,john sullivan,44159,33404,44159,Curbside,,,Both,Weekly,Yes,,,None,26,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,28687,Yes,0,No,,72.89,5225,,,,,,162.25,89.24,,,,,10000,108.87,,1 or 2,0,Year Round,Year Round,1 or 2,Year Round,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,0,,Yes,2,No,No,"We advertise heavily to: 
have tires collected curbside by Norfolk Mosquito Control Program          bring fire extinguishers to Gorham Fire Appliances in Quincy
bring propane containers to curry hardware in Quincy                       bring auto batteri",,
Randolph,Kim Fontaine,12000,9567,9290,Curbside,,,Curbside,Bi-weekly,Yes,Yes,96,None,52,32,Both,Both,Neither,Neither,,Yes,,,,230,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,8074,No,0,No,,,2278.55,,,,,,,,,,,,,,,1 or 2,Between 3 & 10,Between 3 & 10,Between 3 & 10,1 or 2,Year Round,Between 3 & 10,Between 3 & 10,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,0,0,,Yes,1,Yes,No,,,
Raynham,Courtney Saunders,4143,1117,1117,Drop-off,,,Drop-off,,,,,None,,30,Both,Neither,Both,Neither,,Yes,,,Yes,70,,,Yes,,,,,,,Yes,Yes,,,,,,,,,,,,,,657.64,Yes,0,Yes,,81.61,0,19.57,93.59,91.73,126.58,,0,,,0.52,,,264.6,1.85,309.51,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,,0,0,,Yes,1,No,No,,,
Reading,Michael O'Halloran,8939,8287,8287,Curbside,,,Curbside,Weekly,Yes,,,None,5,35,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,4,30,,Yes,,Yes,Yes,,,,Yes,,,,,,,,,,7212.28,Yes,0,Yes,52,64.85,2992.63,,,,,,23.47,46.1,,,,,,24.16,,1 or 2,1 or 2,Year Round,Year Round,Year Round,0,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,1 or 2,0,,Yes,1,No,No,,,
REHOBOTH,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revere,Debra Anemoduris,20232,17000,17000,Curbside,,,Curbside,Weekly,Yes,Yes,65,None,21,,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,17517.6,Yes,,Yes,,69.93,3508.6,,,,,,,,,,,,,46.08,,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,,Year Round,Year Round,Year Round,Year Round,,Once a Month,No,,,,,,
RICHMOND,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rochester,Marcia Kessler,2849,2849,2849,Both,Yes,64,Both,Bi-weekly,Yes,Yes,95,None,52,52,Both,Neither,Both,Both,Yes,,Yes,,,,20,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,Yes,,1988.3,No,0,Yes,,,552.74,,,,,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,,Year Round,Yes,1,No,Yes,,,
Rockland,Janice McCarthy,5464,4902,4902,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,95,None,,52,Both,Both,Neither,Neither,,Yes,,,,296,,,,,,,,,,Yes,Yes,,,Yes,Yes,No,,Yes,Yes,Yes,Yes,,,Yes,4114,No,143.96,Yes,,68.62,1249,,24,2,,,32,8.2,,16.86,,,275,22.08,139.13,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Year Round,0,0,Yes,1,No,Yes,,,
Rockport,Mr. Joseph Parisi,4063,3131,3131,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Both,Neither,Yes,,Yes,,Yes,,55,,Yes,,,,,,,Yes,Yes,,,Yes,,No,,,,,,Yes,Yes,,2708.76,Yes,0,Yes,,81.5,,,,524.85,325.71,,61.44,20,,,,,1000,20,,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,0,,No,,,,,,
Rowe,Jan Ameen,214,200,200,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,Yes,,Yes,104.48,No,45.25,No,,70,,,,28.66,24.35,,20.52,,,,,,,3.55,,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,0,0,0,No,,,,,,
ROWLEY,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royalston,Philip Leger,563,425,425,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Both,Both,Yes,,Yes,,Yes,,15,,Yes,,,,,,,,,,,,,,,,,,,Yes,,Yes,185.15,No,92.14,Yes,,120,117,,,,,,31.23,4,,,,,50,2.52,92.14,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,,No,,,,"Bulky and C&D are collected in the same container and sorted by the hauler. A total 184.27 tons were collected. Approximately half is bulky
and half C&D collected.",,
Russell,Nancy Mezger,634,443,443,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Both,Neither,,Yes,,,Yes,45,,,,,,,,,,,,,,,,,,,,,,,,,384.51,Yes,,Yes,,,,,,44.11,28.21,,,,,,,,,,,0,Year Round,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,,
Rutland,Gary Kellaher,4020,0,0,None,,,None,,,,,None,,,Neither,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,No,4607,,,,,,5,5.5,,2.3,0.01,0.41,,3.66,,,,8.46,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,Year Round,No,,,,,,
Salem,Julia Rose,16500,15000,15000,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,Curbside,5,38,Both,Both,Both,Neither,Yes,Yes,,,,96,,,,Yes,1,64,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,20,,,,,,,,11327,Yes,0,No,52,71.5,3638,,,,,5.85,26.31,28.85,,,,103.75,533.7,33.75,,1 or 2,0,Between 3 & 10,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Year Round,0,,Yes,1,No,Yes,"1-Our residents can purchase 35 gallon orange overflow bags, $2.50 each or $12.50 for 5.  WE offer $5 a roll for about a month over the holidays
2-We hire RMG to handle our e-waste at essentially no cost to the City, we pay about $2,000 annually for RMG t",,
SALISBURY,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandisfield,Fred Ventresco,660,550,550,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,Yes,,,,50,,,,,,,,,,,,,,,,,,,,,,,,278,No,11,No,,77,,,,36.12,30.17,,,,,,,,,,,0,0,Year Round,Year Round,0,Year Round,0,0,0,0,0,Year Round,Year Round,0,0,0,0,1 or 2,0,0,0,0,0,No,,,,We try to provide and/or notify residents of places to take material we do not normally collect and/or of special regional collections that may come up from time to time.,,
Sandwich,"PAUL S. TILTON, PE",8500,4800,4800,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Both,Both,,Yes,,,Yes,60,,,Yes,,,,,,,,,,,,,,,Yes,,Yes,,,,Yes,2856.53,No,311.68,Yes,,68.3,,,,960.61,626.86,,354.7,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,,,Yes,1,No,Yes,,,
Saugus,Lorna Cerbone,9975,8758,8758,Curbside,,,Both,Weekly,Yes,,,None,6,38,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,3,36,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,30,,,,,,,,8328.92,Yes,0,Yes,104,68.44,,,,1097.7,918.57,8.25,81.54,,,,,,260.09,60,,Once a Week,Once a Week,Once a Week,Once a Week,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Once a Week,Year Round,Year Round,Year Round,Year Round,0,Year Round,Once a Week,,Once a Week,0,,Yes,1,No,Yes,,,
Savoy,Linda Cernik,287,200,200,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,Yes,,Yes,,10,,Yes,,,,,,,Yes,Yes,,,Yes,,No,,,,,,Yes,,,93.09,No,0,Yes,,,,,,12.6,7.77,,8.16,2.86,,,,,,3,,0,0,Year Round,Year Round,0,Year Round,0,0,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,0,0,0,No,,,,"HHW collection secured for member towns June 2, 2018. Savoy has 3 options for pay as you throw bags, 1 roll of 10 bags $12.50~ 5 rolls of 10 bags $55.00 ~ 1 single bag $1.50   all are 30 gallon bags ~ clothing collection with Salvation Army. Residents hav",,
Scituate,Sean McCarthy,7730,5445,5445,Drop-off,,,Drop-off,,,,,None,,36,Both,Neither,Recycling,Neither,,,Yes,,Yes,,70,,Yes,,,,,,,Yes,Yes,,,Yes,,No,,,,,,Yes,,,2921,No,2624,Yes,,94.55,,,253,801,703,,258,83,,22.11,,,5000,67,2624,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,,Yes,1,No,Yes,"bulky is listed in two places, as bulky and C&D.",,
Seekonk,Bill Kirchmann,5116,5089,5089,Curbside,Yes,64,Both,Weekly,Yes,Yes,64,None,14,52,Both,Neither,Neither,Neither,,Yes,,,Yes,209,,,Yes,,,,,,,Yes,Yes,,,Yes,Yes,No,,,,,,,,,2999.77,Yes,0,Yes,,75,1539.81,,,,,,,10.36,,16.86,,,3600,51.84,,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Year Round,0,,Yes,1,No,No,"This note is to update our current practices at our town transfer station. As of July 1, 2017, we no longer accepted mattresses or boxsprings as drop-off items. Secondly, due to the tightening contamination requirements on the international level, we were",,
Sharon,Liz Curley,6374,5255,5255,Curbside,,,Curbside,Bi-weekly,Yes,Yes,96,None,9,19,Both,Both,Neither,Neither,,Yes,,,,304,,,,,,,,,,,,,,,,,,,,,,,,Yes,4805.49,No,0,Yes,,65,1750.47,,,,,,,,,,,,,,,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,,0,0,,Yes,1,No,No,,,
Sheffield,Alicia Dulin,1500,823,836,Drop-off,,,Drop-off,,,,,None,,,Both,Recycling,Neither,Neither,,Yes,,,,160,,,,,,,,,,,,,,,,,,Yes,Yes,,,,Yes,,598.27,No,13.93,No,,80,112.63,,92.13,,,,22.6,,,2.75,,,,7.68,,0,0,Year Round,Year Round,0,0,0,0,0,0,0,Year Round,0,0,0,0,0,0,0,0,0,0,0,No,,,,,,
Shelburne,Jan Ameen,606,520,520,Drop-off,,,Drop-off,,,,,None,3,3,Both,Neither,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,Yes,,Yes,259.03,No,0,,,70,,,,73.41,42.3,,,2.51,,,,,,,,0,0,0,0,0,Year Round,0,0,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,,Year Round,,0,No,,,,,,
Sherborn,Charles Tyler,1448,1448,1448,Drop-off,,,Drop-off,,,,,Drop-off,,,Both,Both,Both,Both,Yes,,,,,,,,,,,,,,,Yes,Yes,,Yes,Yes,,No,,,,,,Yes,,Yes,1424.76,No,0,Yes,,67.14,,,,413,223,,46.14,15.4,,10.15,,78,,4.11,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,,Year Round,0,,Yes,1,No,Yes,"In addition, the Town collects porcelain fixtures (toilets and sinks) to send to Conigliaro Industries for pulverization into recycling aggregate for construction purposes at a cost of $15./unit with hardware removed. Drop-off customers are charged $15./u",,
Shirley,Joseph Howlett II,2485,1921,1921,Both,,,Both,Bi-weekly,Yes,,,None,,52,Both,Neither,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,798,No,0,,,74,487,,,,,,,,,,,,21.5,17.5,,Once a Month,Once a Week,Once a Week,Once a Week,Once a Month,Once a Month,0,0,Once a Month,0,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,0,0,0,0,0,0,0,No,,,,,,
Shrewsbury,Kristen Las,14119,10140,10140,Curbside,,,Curbside,Bi-weekly,,,,None,7,4,Both,Both,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,6413.63,Yes,0,Yes,,67.14,0,,59.46,1262.9,1515.16,,,,,,,,621.03,,,0,0,1 or 2,1 or 2,0,Year Round,0,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,1 or 2,0,0,0,,No,,,,"This form was completed by David Snowdon, Administrative Assistant to the Town Manager",,
Shutesbury,J. Gary Bernhard,803,803,803,Curbside,,,Curbside,Weekly,,,,None,,,Both,Both,Both,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,,Yes,,,,,Yes,Yes,,Yes,Yes,,Yes,320.84,Yes,0,Yes,,72.5,,,,105.15,80.19,35,,,,,,,,,,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,0,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,0,0,,Year Round,0,,No,,,,,,
Somerset,Paula Ramos,6400,6400,6400,Both,,,Curbside,Weekly,Yes,,,None,27,16,Both,Both,Both,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,3630.45,Yes,0,Yes,,69.06,1450.43,,,,,,,,,,,,,,,1 or 2,Between 3 & 10,Year Round,Between 3 & 10,1 or 2,1 or 2,0,0,1 or 2,1 or 2,Between 3 & 10,1 or 2,1 or 2,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,0,0,0,0,0,Yes,1,No,No,,,
Somerville,Vithal Deshpande,28000,26250,26250,Curbside,Yes,64,Curbside,Weekly,Yes,Yes,64,None,22,52,Both,Both,Both,Both,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,Yes,40,,,,,,,Yes,18595.15,No,0,Yes,,63.24,7808.5,,,,,,,,,,,,,125,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,1 or 2,Year Round,0,0,0,0,,Yes,8,No,No,,,
South Hadley,Jim Reidy,7150,6500,6500,Both,,,Both,Bi-weekly,,,,None,5,52,Both,Both,Both,Neither,,Yes,,,Yes,65,,,Yes,,,,,,,,,,,,,,,,,,,Yes,Yes,,2352,No,512.68,Yes,,62,,,,848.24,539.27,18.82,119.49,,0,16.01,0,,253.8,28.74,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,0,,Yes,1,No,Yes,,,
Southampton,Randall Kemp,2316,1042,1042,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Both,Neither,,Yes,,,Yes,75,,,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,,569.87,No,156.1,Yes,,75,,,,231.46,136.49,,50.49,5.31,,3.3,,,54,8.47,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,0,No,,,,,,
Southborough,Karen Galligan,3535,2425,2425,Drop-off,,,Drop-off,,Yes,,,None,,52,Neither,Neither,Neither,Neither,Yes,,Yes,,,,250,,,,,,,,,Yes,Yes,,,,,,,,,,,Yes,,,4491,Yes,0,No,,67.14,,,,,,,143,78,,,,,350,,,Year Round,Year Round,1 or 2,Year Round,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Year Round,,,Yes,1,No,No,,,
